text,label
"Hi, I am calling from Hong Kong Money Authority. Your account has been compromised. Please provide your account details to secure your funds.",1
"Hi, are you interested in investment opportunities? We have a high-return investment plan available for a limited time. More than 2000 people have signed up already!",1
"Dear, I'm in a desperate situation and need $500 to pay for an urgent medical procedure. Can you help?",1
"Hey love, it's been a while. I've been thinking about you non-stop. I wanted to surprise you with a special gift, but I need you to verify your address. Please reply with your details so I can send it over.",1
This is MayBank's customer service. We are conducting a routine security check and need you to confirm your account number and recent transactions. Failure to do so will result in account suspension.,1
"Hello, this is the police department. We have received reports of a scammer in your area. Please provide any information you have to help us catch them.",1
"Hi, this is the bank. We have detected suspicious activity on your account. Please provide your account details to verify your identity.",1
Congratulations! You've been selected for a job interview with our prestigious company. Please provide your personal details and bank account information to process your application and verify your identity. Call us back immediately at 1800-200-100300.,1
"Hi, this is Steve from the utility company. We need to verify your account information due to a recent issue. Provide your account number and payment details now.",1
"Hello, this is Mark from the government tax department. Your tax return has been flagged for review. Call us at 1-800-555-6789 to provide additional information.",1
"Hi, this is Lisa from the tech support team. Your account has been compromised. To prevent further issues, provide your login credentials immediately.",1
"Hello, this is Tom from your bank. We need to verify your identity due to unusual transactions. Please provide your account number and PIN to avoid suspension.",1
"Hello, this is Nancy from your health insurance provider. There's an urgent issue with your policy. Please provide your policy number and personal details immediately.",1
"This is Jane from the Department of Health. We've noticed an issue with your health insurance claim. To resolve this, please provide your insurance number and personal details immediately.",1
"Hello, this is Mike from the tech support team. Your computer is showing signs of a security breach. Please provide your username and password to resolve this issue.",1
"Hello, this is Sarah from the IRS. We have identified potential fraud under your social security number. Please provide your personal information to avoid legal action.",1
This is Officer James from the local police department. We've detected suspicious activity related to your bank account. Please call us back immediately at 1-800-555-1234 to verify your details.,1
This is David from your credit union. We've detected suspicious activity on your account. Press 1 to verify your identity or call 1-800-555-2345 immediately.,1
"This is Robert from the credit card company. To resolve a security alert on your account, please confirm your card details by pressing 1 now.",1
"Hi, this is Officer Martinez from the police department. Your identity has been compromised. Call 555-6666 to confirm your details and resolve this issue immediately.",1
"Hi, it's been a while! I've been thinking about you non-stop. I want to send you a special gift, but I need you to confirm your address and full name.",1
"Dear, I want to send you a special surprise. Please confirm your personal details to ensure it reaches you safely.",1
"Hi, I’ve been thinking about you a lot lately. I want to make sure you’re taken care of. Please provide your address so I can send you something special.",1
"Hey love, I’ve been missing you. I want to make sure you’re happy and safe. Please provide your address so I can send you a gift.",1
"Darling, I’m organizing a special event for us. Please confirm your identity and personal details to ensure everything is set.",1
"Dear, recently I have trouble living here. I need your help to get out of this situation. Can you help me?",1
"Dear, can you transfer me $5000 to prove your love for me?",1
"Dear resident, this is an urgent message from the police department. Your account has been flagged for suspicious activities. To prevent further action, provide your personal details to this number.",1
"Hi, this is Officer Clark. Your information is required for an ongoing investigation. Call us immediately at 555-2222 to provide your details and avoid any complications.",1
"Hi, this is Detective Brown from the police department. We have a warrant for your arrest due to unpaid fines. To resolve this, please provide your personal and financial details to avoid arrest.",1
"Hi dear, my family is currently stucked in China as they cannot pay the immigration process, can you help me to pay for it?",1
"Hello, this is Hulk from the ISD department, you are currently suspected for unauthorized moneylending. Please provide your NRIC so that we can remove the suspicion on you.",1
OCBC bank from MyShield. We been trying to contact you many times but you did not response. press 1 for more details,1
"Your recent activity has been noted, please log in to your account for more details.",0
THIS IS A SAMPLE VOICE TO TEST SPEECH TO TEXT,0
O OOOOO O OOOOOOOOO YOU WILL BE TAKEN ON YOUR CUSTODY BY YOU WILL BE TAKEN ON YOUR CUSTODY BY THE LOCAL COPS AS THEIRRE UNDER CUSTODY BY THE LOCAL COPS AS THERE ARE FOUR SERIOUS ALLEGATIONS PRESS AS THERE ARE FOUR SERIOUS ALLIGATIONS PRESSED ON YOUR NAME AT THIS MOMENT WE LLEGATIONS PRESSED ON YOUR NAME AT THIS MOMENT WE WILL REQUEST YOU TO GET BACK TO US MOMENT WE REQUEST YOU TO GET BACK TO US SO THAT WE CAN DISCUSS ABOUT THIS BACK TO US SO THAT WE CAN DISCUSS ABOUT THIS CASE BEFORE TAKING ANY CUSS ABOUT THIS CASE BEFORE TAKING ANY LEGAL ACTION AGAINST YOU OR TAKING ANY LEGAL ACTION AGAINST YOU THE NUMBER TO REACH US IS FOR YOU THE NUMBER TO REACH US IS O I REPEAT F S O I REPEAT THANK YOU,1
HELLO MY NAME IS CAMEL HE B BE BOB I AM CALLING FROM MY CROW SOFT CO B BOB I AM CALLING FROM MY CROWS OFT CORPORATION PLEASE GO BY GIFT MY CROS OFT CORPERATION PLEASE GO BY GIFT CARDS AND EMAIL MEEP IN NUMBE SE GO BY GIFT CARDS AND E MAIL MEEP IN NUMBERS TO GIFT CARDS TO WIN FREE WICK,1
"Hi bro, I just changed my number. Can you transfer $1000 to my bank account using PayNow at +91 12345678901? Or just go to this website to scan and pay to me at ""br-icloud.com.br"". Thanks.",1
HIGHBORO I JUST CHANGED MY NUMBER CAN YOU TRANSFER ONE THOUSAN MY NUMBER CAN YOU TRANSFER ONE THOUSAND DOLLARS TO MY BANK ACCOUNT FER ONE THOUSAND DOLLARS TO MY BANK ACCOUNT USING PAY NOW AT PLUS NINE W BANK ACOUNT USING PAY NOW AT PLUS NINE ONE ONE TWO THREE FOUR F PLUS NINE ONE ONE TWO THREE FOUR FIVE SIX SEVEN EIGHT NINE O E THREE FOUR FIVE SIX SEVEN EIGHT NINE O ONE OR JUST GO EIGHT NINE O ONE OR JUST GO TO THIS WEB SITE TO SCAN AND PA OR JUST GO TO THIS WEB SIGHT TO SCAN AND PAY TO ME IT BE OUR DASH YE C TISCAN AND PAY TO ME IT BE OUR DASH YE CLOUD DOT COME DOT BIAH,1
